Citizen ID,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_10,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30
C42820,TOKUGAWA,$272 ,$27 ,$43 ,$40 ,$217 ,4,8,4,18,0,Others,3,2,45-55,1,0,2,12,0.7,3,primary,,,,5,20,15,,
C42821,CENTAUR,$18 ,$16 ,$91 ,$53 ,$144 ,2,4,11,24,1,Others,3,4,25-35,0,0,3,14,0.5,2,primary,5,,,4,13,4,,
C42822,CENTAUR,$63 ,$41 ,$64 ,$189 ,$517 ,1,64,3,278,14,Others,3,3,55+,0,0,0,20,0.7,4,primary,4,,,,4,,,
C42823,TOKUGAWA,$305 ,$22 ,$292 ,$40 ,$792 ,3,1,9,23,0,Others,3,5,25-35,1,1,4,33,0.5,2,primary,25,,,,34,34,,
C42824,ODYSSEY,$10 ,$15 ,$25 ,$40 ,$100 ,,,,,,Others,3,5,25-35,1,0,4,22,0.3,2,primary,,,,,10,10,,
C42825,TOKUGAWA,$383 ,$50 ,$122 ,$321 ,$486 ,6,89,1,243,24,Others,3,1,45-55,0,1,1,40,0.4,1,MBA,25,,1,3,36,,,
C42826,CENTAUR,"$1,086 ",$64 ,$287 ,$49 ,$563 ,18,73,14,156,2,Others,3,3,55+,0,1,3,20,0.7,2,primary,2,,,,26,24,,
C42827,CENTAUR,$430 ,$34 ,$176 ,$56 ,$451 ,4,16,6,116,2,Others,3,5,35-45,0,0,0,42,0.4,2,primary,,,,,6,6,,
C42828,COSMOS,$59 ,$16 ,$233 ,$45 ,$249 ,3,2,5,85,1,Others,3,3,18-24,1,0,2,24,0.3,1,primary,,,,12,31,19,,
C42829,CENTAUR,$10 ,$43 ,$76 ,$127 ,$614 ,0,35,5,90,4,Others,3,3,25-35,0,0,3,6,0.5,3,primary,,,,,1,1,,
C42830,CENTAUR,$10 ,$16 ,$42 ,$54 ,$216 ,0,2,1,105,2,Others,3,5,45-55,1,1,1,14,0.4,2,primary,1,,,,7,6,,
C42831,TOKUGAWA,"$2,034 ",$69 ,$86 ,$40 ,$309 ,19,109,7,156,0,Others,3,3,18-24,1,1,3,47,0.1,4,primary,3,,,,3,,,
C42832,EBONY,$10 ,$19 ,$25 ,$65 ,$122 ,0,12,0,49,8,Others,3,4,18-24,1,0,0,10,0.9,3,primary,,,,4,9,5,,
C42833,ODYSSEY,$10 ,$24 ,$108 ,$78 ,$194 ,0,10,5,57,4,Others,3,3,25-35,1,1,5,32,0.1,1,primary,,,,4,17,13,,
C42834,CENTAUR,$129 ,$33 ,$196 ,$108 ,$479 ,11,33,18,86,9,Others,3,1,25-35,1,0,1,48,0.4,2,primary,5,,,,5,,,
C42835,COSMOS,$596 ,$27 ,$44 ,$40 ,$324 ,14,16,1,86,0,Others,3,5,45-55,0,1,4,5,0.5,3,primary,4,1,,1,6,,,
C42836,CENTAUR,$29 ,$16 ,$25 ,$54 ,$295 ,3,2,0,103,1,Others,3,2,18-24,0,0,1,48,0.4,2,primary,1,,,,1,,,
C42837,ODYSSEY,$268 ,$16 ,$96 ,$49 ,$165 ,8,4,4,68,1,Others,3,1,55+,1,0,4,13,0.9,1,primary,1,,,1,2,,,
C42838,EBONY,$50 ,$16 ,$25 ,$93 ,$150 ,2,7,0,71,8,Others,3,2,35-45,0,1,1,48,0.7,4,primary,,,,4,16,12,,
C42839,ODYSSEY,$14 ,$22 ,$31 ,$68 ,$176 ,1,8,1,89,1,Others,3,5,35-45,0,1,0,44,0.3,2,primary,,,,5,16,11,,
C42840,CENTAUR,$10 ,$25 ,$25 ,$40 ,$117 ,0,24,0,17,0,Others,3,5,55+,0,1,5,48,0.2,2,primary,,,,,,,,
C42841,ODYSSEY,$683 ,$37 ,$143 ,$236 ,"$1,425 ",9,26,6,252,11,Others,3,4,35-45,1,0,3,48,0.5,5,primary,25,,,20,57,30,,
C42842,CENTAUR,$10 ,$15 ,$31 ,$40 ,$118 ,0,0,1,14,0,Others,3,4,18-24,1,1,3,5,0.9,1,primary,1,,,,1,,,
C42843,ODYSSEY,$657 ,$30 ,$242 ,$40 ,$196 ,17,29,9,54,0,Others,3,5,25-35,0,0,2,11,0.6,3,primary,6,,,1,7,,,
C42844,TOKUGAWA,$10 ,$15 ,$25 ,$40 ,$100 ,,,,,,Others,3,4,45-55,0,0,4,11,0.1,3,MBA,,,,,,,,
C42845,COSMOS,$10 ,$33 ,$25 ,$171 ,$394 ,0,104,0,185,10,Others,3,4,25-35,1,0,4,40,0.5,5,MBA,,,,12,15,3,,
C42846,ODYSSEY,$77 ,$47 ,$166 ,$276 ,$800 ,7,127,6,480,17,Others,3,3,18-24,0,1,3,32,0.1,5,primary,,,,3,20,17,,
C42847,COSMOS,$12 ,$15 ,$25 ,$40 ,$133 ,1,0,0,4,0,Others,3,3,35-45,1,0,3,13,0.8,2,primary,,,,,6,6,,
C42848,TOKUGAWA,"$1,481 ",$131 ,$215 ,$40 ,$305 ,33,100,14,132,0,Others,3,2,35-45,1,0,4,41,0.2,4,primary,3,,,,3,,,
C42849,COSMOS,$66 ,$33 ,$119 ,$76 ,$368 ,1,91,7,249,6,Others,3,2,45-55,1,0,2,29,0.2,2,primary,5,,,,5,,,
C42850,CENTAUR,$120 ,$72 ,$126 ,$94 ,$429 ,7,238,6,101,3,Others,3,5,35-45,1,1,0,5,0.3,3,primary,2,,,,2,,,
C42851,CENTAUR,"$7,049 ",$51 ,$25 ,$40 ,$362 ,54,10,13,14,0,Others,3,5,35-45,1,0,1,20,0.3,3,primary,3,,,,3,,,
C42852,ODYSSEY,$319 ,$32 ,$39 ,$71 ,$199 ,5,34,2,107,3,Others,3,4,45-55,1,1,3,36,0.1,2,primary,,,,,,,,
C42853,ODYSSEY,$10 ,$37 ,$62 ,$56 ,$145 ,0,12,1,24,2,Others,3,4,35-45,0,1,3,48,0.4,2,primary,,,,9,17,8,,
C42854,ODYSSEY,$10 ,$29 ,$25 ,$370 ,$405 ,0,52,0,219,24,Others,3,1,45-55,0,0,3,43,0.7,3,primary,,,,,1,1,,
C42855,CENTAUR,$806 ,$51 ,$168 ,$407 ,$403 ,24,224,10,238,23,Others,3,3,35-45,0,1,4,29,0.2,4,primary,14,,,1,15,,,
C42856,CENTAUR,$123 ,$30 ,$258 ,$144 ,$458 ,5,47,4,186,6,Others,3,4,25-35,1,1,4,9,0.5,5,primary,5,,,2,14,7,,
C42857,EBONY,$10 ,$26 ,$42 ,$40 ,$212 ,0,19,2,26,0,Others,3,2,55+,0,0,4,39,0.6,4,primary,,,,4,11,7,,
C42858,ODYSSEY,$620 ,$28 ,$82 ,$62 ,$261 ,17,40,3,144,2,Others,3,2,45-55,1,0,0,31,0.2,2,primary,,,,,,,,
C42859,COSMOS,$121 ,$52 ,$303 ,$110 ,$249 ,2,131,26,104,10,Others,3,2,35-45,1,0,2,20,0.8,2,primary,4,,,2,6,,,
C42860,COSMOS,$104 ,$29 ,$63 ,$40 ,$454 ,4,30,3,97,0,Others,3,2,25-35,0,1,1,34,0.5,3,primary,,,,1,12,11,,
C42861,CENTAUR,$305 ,$23 ,$132 ,$86 ,$360 ,11,10,5,66,2,Others,3,3,35-45,0,1,4,49,1,3,primary,,,,,,,,
C42862,TOKUGAWA,$10 ,$15 ,$25 ,$65 ,$141 ,0,1,0,12,1,Others,3,3,18-24,1,1,4,40,0.7,4,primary,5,,3,,8,,,
C42863,CENTAUR,$54 ,$17 ,$131 ,$40 ,$189 ,1,5,8,38,0,Others,3,2,55+,0,0,2,8,0.7,1,primary,3,,,,3,,,
C42864,CENTAUR,$217 ,$29 ,$119 ,$118 ,$576 ,4,79,4,252,10,Others,3,2,55+,0,1,2,1,0.6,1,MBA,25,,,,32,,,
C42865,COSMOS,$10 ,$15 ,$25 ,$40 ,$100 ,,,,,,Others,3,2,45-55,1,1,1,29,0.6,5,primary,,,,1,1,,,
C42866,CENTAUR,$139 ,$15 ,$63 ,$101 ,$177 ,4,1,1,57,5,Others,3,2,35-45,1,1,3,7,0.9,4,primary,1,,,,1,,,
C42867,COSMOS,$10 ,$22 ,$32 ,$45 ,$102 ,0,20,1,5,1,Others,3,3,35-45,1,1,1,22,0.2,1,primary,,,,3,5,2,,
C42868,CENTAUR,$96 ,$21 ,$33 ,$64 ,$266 ,3,38,5,82,1,Others,3,2,35-45,1,1,1,27,1,3,primary,,,,,,,,
C42869,COSMOS,$10 ,$15 ,$25 ,$76 ,$198 ,0,2,0,15,2,Others,3,4,55+,0,1,0,28,0.7,1,MBA,,,,,6,6,,
C42870,COSMOS,$10 ,$17 ,$25 ,$117 ,$121 ,0,5,0,26,13,Others,3,1,18-24,1,1,4,41,0.5,3,MBA,,,,1,3,2,,
C42871,CENTAUR,$11 ,$47 ,$43 ,$128 ,$338 ,1,57,3,156,4,Others,3,3,18-24,0,1,3,22,0.6,4,primary,9,,3,,12,,,
C42872,TOKUGAWA,$718 ,$46 ,$240 ,$205 ,$604 ,35,23,11,224,5,Others,3,4,25-35,0,1,1,14,0.5,2,primary,2,,,,10,8,,
C42873,EBONY,$10 ,$18 ,$25 ,$44 ,$106 ,0,8,0,5,1,Others,3,1,45-55,0,1,4,29,0.7,3,primary,,,,1,3,2,,
C42874,TOKUGAWA,$56 ,$16 ,$44 ,$40 ,$100 ,2,1,1,0,0,Others,3,3,18-24,0,1,1,8,0.2,4,primary,3,,,,3,,,
C42875,ODYSSEY,"$1,067 ",$21 ,$307 ,$45 ,$191 ,13,26,14,34,2,Others,3,2,45-55,0,0,3,48,0.8,4,MBA,,,,,1,1,,
C42876,CENTAUR,$83 ,$165 ,$374 ,$155 ,"$1,170 ",23,227,14,434,5,Others,3,2,25-35,0,0,0,15,0.4,5,primary,4,,1,,5,,,
C42877,ODYSSEY,$132 ,$33 ,$25 ,$43 ,$295 ,14,55,0,133,2,Others,3,4,55+,1,1,4,7,0.2,4,primary,1,,,,1,,,
C42878,ODYSSEY,$265 ,$15 ,$53 ,$40 ,$110 ,1,0,2,3,0,Others,3,5,18-24,0,0,2,15,0.5,3,primary,1,,,1,6,4,,
C42879,ODYSSEY,$10 ,$24 ,$25 ,$69 ,$369 ,0,23,0,154,1,Others,3,2,18-24,0,0,4,2,0.4,2,MBA,,,,6,20,14,,
C42880,COSMOS,$10 ,$22 ,$25 ,$48 ,$241 ,0,121,0,170,3,Others,3,4,45-55,1,1,5,12,0.9,3,primary,,,,,1,1,,
C42881,COSMOS,$10 ,$15 ,$96 ,$60 ,$941 ,0,1,3,178,2,Others,3,1,45-55,0,1,4,10,0.8,1,primary,1,,,16,26,9,,
C42882,COSMOS,$11 ,$35 ,$203 ,$322 ,$489 ,1,48,3,255,47,Others,3,3,25-35,1,1,4,38,0.9,5,primary,4,,,8,21,9,,
C42883,ODYSSEY,$255 ,$30 ,$157 ,$275 ,$422 ,6,71,5,186,39,Others,3,2,45-55,0,0,5,22,0.8,1,primary,,,,2,25,23,,
C42884,CENTAUR,$10 ,$15 ,$25 ,$40 ,$110 ,0,0,0,29,0,Others,3,4,55+,1,1,3,9,0.9,4,primary,,,,,,,,
C42885,ODYSSEY,$10 ,$23 ,$33 ,$55 ,$347 ,0,22,2,86,1,Others,3,3,25-35,0,1,2,13,0.1,3,primary,,,,5,9,4,,
C42886,COSMOS,$10 ,$26 ,$25 ,$85 ,$298 ,0,26,0,109,7,Others,3,4,25-35,0,0,4,5,0.7,2,MBA,5,,,1,6,,,
C42887,ODYSSEY,"$3,109 ",$123 ,$853 ,"$2,316 ",$908 ,77,165,43,268,17,Others,3,4,55+,0,0,4,4,0.7,3,primary,9,,,,9,,,
C42888,TOKUGAWA,$107 ,$30 ,$112 ,$62 ,$233 ,3,44,6,85,2,Others,3,4,35-45,1,1,2,16,0.7,2,primary,,,,,2,2,,
C42889,CENTAUR,$273 ,$27 ,$76 ,$74 ,$229 ,3,34,4,169,5,Others,3,3,55+,1,0,2,33,0.4,1,primary,,,,,,,,
C42890,COSMOS,$10 ,$22 ,$25 ,$256 ,$195 ,0,72,0,250,54,Others,3,4,35-45,0,1,0,14,0.4,3,primary,,,,10,14,4,,
C42891,COSMOS,$134 ,$15 ,$25 ,$40 ,$498 ,1,0,0,121,0,Others,3,4,25-35,1,0,2,27,0.7,4,primary,1,,,16,22,5,,
C42892,ODYSSEY,$315 ,$32 ,$390 ,$56 ,$213 ,10,23,18,88,4,Others,3,4,45-55,1,0,2,42,0.5,4,primary,5,,,,5,,,
C42893,CENTAUR,$10 ,$22 ,$25 ,$416 ,$271 ,0,27,0,107,20,Others,3,1,45-55,0,0,2,43,0.4,1,primary,,,,,6,6,,
C42894,CENTAUR,$10 ,$18 ,$89 ,$96 ,$168 ,0,5,6,26,4,Others,3,3,18-24,0,1,3,30,0.4,2,primary,,,,,6,6,,
C42895,CENTAUR,$63 ,$30 ,$63 ,$40 ,$118 ,2,24,4,16,0,Others,3,2,45-55,1,0,1,7,0.9,5,primary,,,,,,,,
C42896,TOKUGAWA,$10 ,$24 ,$198 ,$40 ,$133 ,0,1,1,9,0,Others,3,3,35-45,0,0,3,38,0.5,2,primary,,,,,,,,
C42897,ODYSSEY,$10 ,$17 ,$25 ,$246 ,$194 ,0,41,0,92,20,Others,3,3,18-24,1,1,2,20,0.4,5,primary,,,,,1,1,,
C42898,CENTAUR,$78 ,$20 ,$85 ,$174 ,$247 ,1,25,6,128,9,Others,3,2,55+,1,1,0,46,0.6,3,primary,1,,,,1,,,
C42899,ODYSSEY,$10 ,$25 ,$25 ,$40 ,$160 ,0,14,0,20,0,Others,3,1,55+,0,1,1,29,0.2,2,primary,10,,,18,41,13,,
C42900,CENTAUR,$156 ,$62 ,$100 ,$170 ,"$1,734 ",8,104,4,383,10,Others,3,2,45-55,0,0,2,37,0.3,4,primary,25,,,,30,30,,
C42901,EBONY,$526 ,$51 ,$907 ,$173 ,$356 ,16,98,37,137,19,Others,3,4,45-55,0,0,3,44,0.4,2,MBA,,6,1,1,9,1,,
C42902,CENTAUR,"$1,189 ",$51 ,$138 ,$65 ,$408 ,19,96,15,215,3,Others,3,3,25-35,0,1,3,40,0.1,4,primary,4,,1,,5,,,
C42903,COSMOS,$10 ,$54 ,$151 ,$522 ,$360 ,0,77,10,178,50,Others,3,4,45-55,0,1,2,7,0.8,2,primary,,,,17,22,5,,
C42904,CENTAUR,$470 ,$19 ,$56 ,$127 ,$140 ,5,4,1,12,1,Others,3,1,25-35,0,0,0,11,0.4,3,primary,2,,,6,8,,,
C42905,ODYSSEY,$10 ,$18 ,$25 ,$40 ,$179 ,0,3,0,31,0,Others,3,3,45-55,0,1,1,33,1,3,primary,6,,2,1,11,2,,
C42906,TOKUGAWA,$10 ,$48 ,$305 ,$373 ,"$1,271 ",0,63,17,54,4,Others,3,5,55+,0,1,1,30,0.8,1,primary,25,,,47,84,35,,
C42907,COSMOS,$10 ,$20 ,$25 ,$196 ,$318 ,0,4,0,126,10,Others,3,5,25-35,0,1,5,27,1,4,primary,,,,4,6,2,,
C42908,CENTAUR,$10 ,$20 ,$25 ,$42 ,$186 ,0,27,0,103,1,Others,3,5,45-55,1,0,3,24,0.5,4,MBA,2,,,8,19,9,,
C42909,TOKUGAWA,$10 ,$39 ,$98 ,$202 ,$249 ,0,145,1,110,12,Others,3,2,45-55,1,0,2,6,0.6,5,MBA,25,,7,12,51,6,,
C42910,TOKUGAWA,$247 ,$32 ,$145 ,$44 ,$308 ,6,38,8,78,1,Others,3,2,25-35,1,0,3,14,0.8,5,primary,5,,,,5,,,
C42911,CENTAUR,"$1,284 ",$72 ,"$1,020 ",$40 ,"$3,257 ",16,33,17,169,0,Others,3,4,18-24,0,1,1,37,0.5,5,primary,1,,,,1,,,
C42912,ODYSSEY,$11 ,$40 ,$42 ,$210 ,$578 ,1,89,6,344,7,Others,3,2,35-45,0,1,0,42,0.7,1,primary,,,,1,14,13,,
C42913,CENTAUR,$203 ,$24 ,$25 ,$40 ,$156 ,3,15,0,18,0,Others,3,4,35-45,1,0,3,18,0.5,4,primary,1,,,,1,,,
C42914,CENTAUR,$489 ,$93 ,$318 ,$65 ,$843 ,17,61,24,171,2,Others,3,2,35-45,0,1,3,31,0.3,4,primary,25,,29,,63,,,
C42915,CENTAUR,$204 ,$23 ,$85 ,$55 ,$181 ,6,17,5,30,1,Others,3,2,18-24,1,0,1,23,0.3,2,primary,,,,4,6,2,,
C42916,EBONY,"$1,308 ",$22 ,$25 ,$40 ,$104 ,2,11,0,1,0,Others,3,4,45-55,0,0,4,13,0.3,3,primary,,,,,1,1,,
C42917,EBONY,$10 ,$18 ,$25 ,$40 ,$256 ,0,5,0,90,0,Others,3,1,35-45,0,1,3,9,1,4,primary,,,,11,12,1,,
C42918,CENTAUR,$880 ,$32 ,$25 ,$219 ,$455 ,20,44,0,204,17,Others,3,3,45-55,1,1,2,49,0.3,3,primary,9,,,,10,1,,
C42919,COSMOS,$10 ,$18 ,$25 ,$285 ,$258 ,0,20,0,117,33,Others,3,3,45-55,1,1,4,40,0.6,3,primary,,,,1,3,2,,
C42920,CENTAUR,"$2,019 ",$169 ,$131 ,$40 ,$256 ,11,104,5,130,0,Others,3,3,35-45,1,1,2,25,0.1,4,primary,1,,,,1,,,
C42921,COSMOS,$10 ,$16 ,$25 ,$40 ,$118 ,0,3,0,20,0,Others,3,2,25-35,1,0,5,49,0.4,1,MBA,,,,1,3,2,,
C42922,TOKUGAWA,$41 ,$41 ,$324 ,$231 ,$193 ,1,40,7,58,17,Others,3,3,55+,0,0,1,18,0.9,5,primary,3,,,,6,3,,
C42923,EBONY,$10 ,$15 ,$25 ,$64 ,$140 ,0,2,0,19,1,Others,3,5,35-45,0,0,5,34,0.4,2,primary,,,,6,24,18,,
C42924,CENTAUR,$938 ,$25 ,$203 ,$272 ,$353 ,18,21,15,102,11,Others,3,3,25-35,1,1,5,6,0.4,4,MBA,13,,4,,17,,,
C42925,CENTAUR,$69 ,$32 ,$285 ,$40 ,$380 ,2,9,3,68,0,Others,3,5,55+,1,0,2,36,0.5,3,primary,6,,,,8,2,,
C42926,COSMOS,$12 ,$16 ,$25 ,$50 ,$213 ,2,2,0,82,2,Others,3,5,25-35,0,0,3,8,0.1,2,primary,4,,,3,9,2,,
C42927,CENTAUR,$330 ,$102 ,"$5,503 ",$405 ,$920 ,16,156,48,309,9,Others,3,3,25-35,0,1,1,7,0.6,4,MBA,,,,,,,,
C42928,CENTAUR,$138 ,$26 ,$29 ,$79 ,$751 ,2,29,1,152,4,Others,3,3,25-35,1,0,2,16,0.8,5,primary,8,,,,9,1,,
C42929,COSMOS,$10 ,$33 ,$32 ,$929 ,$453 ,0,30,1,224,48,Others,3,2,45-55,1,0,3,12,0.9,3,primary,4,,,9,22,9,,
C42930,TOKUGAWA,$10 ,$51 ,$364 ,$67 ,$243 ,0,56,17,74,5,Others,3,5,25-35,1,1,3,43,0.8,3,primary,3,,2,,5,,,
C42931,COSMOS,$139 ,$41 ,$205 ,$48 ,$149 ,5,84,7,80,3,Others,3,2,25-35,1,0,1,3,0.7,5,primary,,,,1,3,2,,
C42932,COSMOS,$10 ,$15 ,$25 ,$40 ,$113 ,0,0,0,32,0,Others,3,1,35-45,0,1,4,6,0.7,4,primary,,,,,22,22,,
C42933,CENTAUR,$10 ,$18 ,$83 ,$50 ,$334 ,0,9,5,137,1,Others,3,5,35-45,0,0,1,26,0.4,2,MBA,4,,,,4,,,
C42934,CENTAUR,"$1,451 ",$57 ,$142 ,$124 ,$377 ,10,71,9,144,6,Others,3,4,25-35,1,1,1,2,1,4,MBA,2,,,,2,,,
C42935,CENTAUR,"$6,542 ",$104 ,"$1,414 ",$165 ,$859 ,110,268,53,376,2,Others,3,2,45-55,0,0,4,25,0.7,3,primary,2,,,,2,,,
C42936,CENTAUR,$604 ,$27 ,$25 ,$71 ,"$1,013 ",6,20,0,101,6,Others,3,3,45-55,0,1,3,31,0.8,3,primary,2,,,,2,,,
C42937,TOKUGAWA,$395 ,$33 ,$139 ,$40 ,$122 ,5,15,1,18,0,Others,3,5,25-35,1,1,0,49,0.9,2,primary,3,,,,5,2,,
C42938,ODYSSEY,$693 ,$49 ,$166 ,$210 ,$511 ,7,76,14,230,12,Others,3,3,55+,1,1,1,9,0.2,1,primary,,,,,,,,
C42939,CENTAUR,$176 ,$33 ,$64 ,$99 ,$460 ,8,30,2,238,6,Others,3,3,45-55,1,1,5,40,0.9,2,primary,14,,1,1,16,,,
C42940,TOKUGAWA,$10 ,$103 ,$25 ,$66 ,$235 ,1,93,0,47,4,Others,3,4,25-35,0,0,1,14,0.7,2,primary,,,,6,10,4,,
C42941,ODYSSEY,$11 ,$19 ,$25 ,$100 ,$250 ,2,14,0,121,3,Others,3,2,35-45,0,0,4,43,0.3,1,primary,,,,2,9,7,,
C42942,CENTAUR,$92 ,$17 ,$25 ,$52 ,$153 ,1,7,0,51,1,Others,3,2,25-35,1,1,4,15,0.5,3,primary,,,,,,,,
C42943,ODYSSEY,$10 ,$29 ,$461 ,$75 ,$136 ,0,10,3,5,1,Others,3,2,45-55,0,0,0,10,0.9,3,primary,3,,,,4,1,,
C42944,COSMOS,$94 ,$23 ,$75 ,$325 ,$283 ,3,33,2,136,18,Others,3,2,18-24,0,1,4,37,0.8,2,primary,,,,6,17,11,,
C42945,ODYSSEY,$10 ,$18 ,$76 ,$118 ,$225 ,0,29,4,80,3,Others,3,5,45-55,1,1,5,13,0.7,2,primary,3,,,,3,,,
C42946,COSMOS,$10 ,$72 ,$172 ,$65 ,$494 ,0,111,2,161,2,Others,3,2,55+,0,0,4,7,0.5,2,primary,,,,1,9,8,,
C42947,CENTAUR,$54 ,$36 ,$39 ,$51 ,$303 ,3,80,3,223,3,Others,3,1,18-24,1,0,4,45,0.2,1,MBA,20,,5,,25,,,
C42948,CENTAUR,$174 ,$41 ,$264 ,"$7,858 ",$975 ,17,5,10,137,28,Others,3,2,45-55,1,0,2,19,0.5,1,MBA,,,,,,,,
C42949,CENTAUR,"$1,286 ",$54 ,$249 ,$200 ,$961 ,23,93,9,353,15,Others,3,4,18-24,1,1,2,5,0.6,1,primary,14,,1,,15,,,
C42950,CENTAUR,$423 ,$65 ,$49 ,"$4,797 ","$2,264 ",15,42,4,165,47,Others,3,3,25-35,0,1,1,21,0.1,3,MBA,7,,,,7,,,
C42951,COSMOS,$106 ,$29 ,$128 ,$85 ,$157 ,3,46,10,47,5,Others,3,5,35-45,1,1,1,26,0.9,4,primary,,,,2,6,4,,
C42952,CENTAUR,$179 ,$60 ,$222 ,$40 ,$492 ,1,76,5,118,0,Others,3,4,35-45,0,1,0,10,0.5,3,primary,3,,,1,4,,,
C42953,CENTAUR,$10 ,$21 ,$42 ,$40 ,$140 ,0,25,3,45,1,Others,3,4,55+,1,1,2,28,0.3,5,primary,,,,5,5,,,
C42954,COSMOS,$154 ,$18 ,$126 ,$40 ,$165 ,6,4,5,56,0,Others,3,3,45-55,1,0,2,47,0.6,3,primary,,,,8,12,4,,
C42955,ODYSSEY,"$3,585 ",$23 ,$84 ,$40 ,$118 ,17,10,2,16,0,Others,3,4,35-45,0,0,2,29,0.4,2,primary,1,,,,10,9,,
C42956,ODYSSEY,$10 ,$31 ,$25 ,$40 ,$184 ,0,55,0,41,0,Others,3,4,55+,0,0,2,19,0.7,3,primary,,,,3,8,5,,
C42957,ODYSSEY,$10 ,$36 ,$25 ,$518 ,$521 ,0,48,0,291,29,Others,3,4,35-45,0,1,0,11,0.5,1,primary,1,,,3,7,3,,
C42958,CENTAUR,$416 ,$139 ,$95 ,"$2,065 ","$2,598 ",6,109,10,235,19,Others,3,5,35-45,0,0,4,21,0.4,3,primary,5,,1,,6,,,
C42959,CENTAUR,$254 ,$20 ,$59 ,$236 ,$248 ,4,34,3,157,17,Others,3,3,25-35,0,0,1,2,0.4,3,primary,2,,,,2,,,
C42960,CENTAUR,"$3,129 ",$25 ,$409 ,$124 ,$359 ,22,30,10,85,3,Others,3,2,35-45,1,0,2,38,0.9,2,primary,1,,,21,44,22,,
C42961,EBONY,$10 ,$18 ,$48 ,$70 ,$149 ,0,5,1,30,3,Others,3,3,18-24,1,1,2,41,0.7,4,primary,,,,1,3,2,,
C42962,CENTAUR,$10 ,$15 ,$25 ,$490 ,$488 ,0,0,0,43,3,Others,3,1,35-45,0,0,2,28,0.1,5,primary,,,,,,,,
C42963,CENTAUR,$10 ,$19 ,$32 ,$40 ,$297 ,0,17,2,85,0,Others,3,2,45-55,0,0,5,42,0.6,3,primary,1,,,1,5,3,,
C42964,ODYSSEY,$10 ,$20 ,$25 ,$153 ,$183 ,0,4,0,42,7,Others,3,4,45-55,0,0,4,15,0.8,3,primary,,,,2,14,12,,
C42965,EBONY,$10 ,$20 ,$25 ,$269 ,$162 ,0,12,0,55,17,Others,3,2,18-24,0,1,3,28,0.1,4,primary,,,,10,10,,,
C42966,CENTAUR,$77 ,$56 ,$399 ,$40 ,$220 ,2,31,9,150,0,Others,3,2,35-45,1,0,2,18,0.5,4,primary,19,,3,1,23,,,
C42967,CENTAUR,$10 ,$27 ,$30 ,$40 ,$288 ,0,52,1,112,0,Others,3,1,18-24,1,1,1,35,0.9,5,primary,,,,,14,14,,
C42968,EBONY,$10 ,$15 ,$25 ,$40 ,$107 ,0,2,0,7,0,Others,3,2,18-24,0,0,4,7,0.2,3,primary,,,,4,6,2,,
C42969,CENTAUR,$96 ,$75 ,$165 ,$492 ,$584 ,2,70,6,366,13,Others,3,4,18-24,0,1,1,25,0.3,3,primary,1,,,14,31,16,,
C42970,CENTAUR,$207 ,$63 ,$85 ,$102 ,$303 ,5,65,3,92,9,Others,3,4,35-45,1,0,3,34,0.3,2,primary,3,,,,4,1,,
C42971,COSMOS,$10 ,$18 ,$27 ,$118 ,$316 ,0,9,2,73,8,Others,3,3,25-35,0,0,4,28,0.4,2,primary,3,,,10,20,7,,
C42972,EBONY,$10 ,$37 ,$27 ,$359 ,$115 ,0,96,1,46,72,Others,3,3,25-35,0,0,4,4,0.1,3,primary,,,,19,26,7,,
C42973,CENTAUR,$483 ,$18 ,$25 ,$116 ,$191 ,4,8,0,58,3,Others,3,2,35-45,1,0,5,2,0.8,3,primary,1,,,,1,,,
C42974,ODYSSEY,$10 ,$17 ,$120 ,$40 ,$291 ,0,5,6,147,0,Others,3,1,18-24,1,1,0,26,0.6,3,primary,,,,4,4,,,
C42975,CENTAUR,$12 ,$20 ,$97 ,$40 ,$333 ,1,7,13,138,0,Others,3,3,45-55,0,1,4,6,0.9,4,primary,13,,1,,14,,,
